FID,CLSFID,ID_Country,ORIG_FID,Lat,Lon
11337,12092,12092 New Zealand,11337,-35.925484495500001,174.488497771999988
11338,12113,12113 New Zealand,11338,-36.346389777200002,174.768310544000002
11339,12089,12089 New Zealand,11339,-37.164626854700003,174.723994349999998
11340,12093,12093 New Zealand,11340,-37.386162527200000,174.743206810000004
11341,12094,12094 New Zealand,11341,-38.163753171700002,174.812487804000000
11342,12096,12096 New Zealand,11342,-38.931909562800001,174.467345937000005
11343,12120,12120 New Zealand,11343,-36.951346002400001,175.151820358000009
11344,12121,12121 New Zealand,11344,-36.870249080500002,175.708116456999988
11345,12124,12124 New Zealand,11345,-37.494280261699998,176.046036055000002
11346,12085,12085 New Zealand,11346,-36.968615989900002,174.634674068000010
11347,12086,12086 New Zealand,11347,-36.937844165999998,174.741779602000008
11348,12087,12087 New Zealand,11348,-37.047966009600003,174.858963009999997
11349,12088,12088 New Zealand,11349,-37.069718680699999,174.884509933999993
11350,12114,12114 New Zealand,11350,-36.607624978499999,174.719598194000014
11351,12115,12115 New Zealand,11351,-36.717596699700003,174.768746819999990
11352,12116,12116 New Zealand,11352,-36.780059820799998,174.796920773000011
11353,12117,12117 New Zealand,11353,-36.812148962000002,174.815771691999998
11354,12118,12118 New Zealand,11354,-36.830837256099997,174.836036678999989
11355,12119,12119 New Zealand,11355,-36.871505720199998,174.887198347000009
11356,12144,12144 New Zealand,11356,-36.749145693400003,175.099853950000011
11357,12146,12146 New Zealand,11357,-36.157597706300002,175.507321073000014
11358,12125,12125 New Zealand,11358,-37.686409947300000,176.176660306000002
11359,12126,12126 New Zealand,11359,-37.709020753799997,176.240988487999999
11360,12127,12127 New Zealand,11360,-37.688436724600002,176.300613878000007
11361,12128,12128 New Zealand,11361,-37.711906439099998,176.365165708000006
11362,12129,12129 New Zealand,11362,-37.723056799200002,176.395835873999999
11363,12130,12130 New Zealand,11363,-37.860276239900003,176.666451717000001
11364,12131,12131 New Zealand,11364,-37.960236208399998,177.054805858000009
11365,12132,12132 New Zealand,11365,-37.988052628699997,177.369173528000005
11366,12133,12133 New Zealand,11366,-37.668704311500001,177.783188601999996
11367,12134,12134 New Zealand,11367,-38.129485013900002,178.368702547999987
11368,12135,12135 New Zealand,11368,-38.715601524800000,178.071678776999988
11369,12136,12136 New Zealand,11369,-38.828512230199998,177.936254803999987
11370,12139,12139 New Zealand,11370,-39.065063190899998,177.452340878999991
11371,12100,12100 New Zealand,11371,-39.785658623499998,174.498464011999999
